pokedex_number,japanese_name,name,classfication,abilities,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,capture_rate,experience_growth,base_total,hp,attack,defense,sp_attack,sp_defense,speed,percentage_male,height_m,weight_kg,generation,is_legendary
197,Blackyブラッキー,Umbreon,Moonlight Pokémon,"['Synchronize', 'Inner Focus']",dark,,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,8960,35,45,1000000,525,95,65,110,60,130,65,88.1,1,27,2,0
198,Yamikarasuヤミカラス,Murkrow,Darkness Pokémon,"['Insomnia', 'Super Luck', 'Prankster']",dark,flying,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,5120,35,30,1059860,405,60,85,42,85,42,91,50,0.5,2.1,2,0
199,Yadokingヤドキング,Slowking,Royal Pokémon,"['Oblivious', 'Own Tempo', 'Regenerator']",water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,70,1000000,490,95,75,80,100,110,30,50,2,79.5,2,0
200,Mumaムウマ,Misdreavus,Screech Pokémon,['Levitate'],ghost,,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,6400,35,45,800000,435,60,60,60,85,85,85,50,0.7,1,2,0
201,Unknownアンノーン,Unown,Symbol Pokémon,['Levitate'],psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,10240,70,225,1000000,336,48,72,48,72,48,48,,0.5,5,2,0
202,Sonansソーナンス,Wobbuffet,Patient Pokémon,"['Shadow Tag', 'Telepathy']",psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,45,1000000,405,190,33,58,33,58,33,50,1.3,28.5,2,0
203,Kirinrikiキリンリキ,Girafarig,Long Neck Pokémon,"['Inner Focus', 'Early Bird', 'Sap Sipper']",normal,psychic,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,5120,70,60,1000000,455,70,80,65,90,65,85,50,1.5,41.5,2,0
204,Kunugidamaクヌギダマ,Pineco,Bagworm Pokémon,"['Sturdy', 'Overcoat']",bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,5120,70,190,1000000,290,50,65,90,35,35,15,50,0.6,7.2,2,0
205,Foretosフォレトス,Forretress,Bagworm Pokémon,"['Sturdy', 'Overcoat']",bug,steel,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,5120,70,75,1000000,465,75,90,140,60,60,40,50,1.2,125.8,2,0
206,Nokocchiノコッチ,Dunsparce,Land Snake Pokémon,"['Serene Grace', 'Run Away', 'Rattled']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,190,1000000,415,100,70,70,65,65,45,50,1.5,14,2,0
207,Gligerグライガー,Gligar,Flyscorpion Pokémon,"['Hyper Cutter', 'Sand Veil', 'Immunity']",ground,flying,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,5120,70,60,1059860,430,65,75,105,35,65,85,50,1.1,64.8,2,0
208,Haganeilハガネール,Steelix,Iron Snake Pokémon,"['Rock Head', 'Sturdy', 'Sheer Force']",steel,ground,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,6400,70,25,1000000,610,75,125,230,55,95,30,50,9.2,400,2,0
209,Buluブルー,Snubbull,Fairy Pokémon,"['Intimidate', 'Run Away', 'Rattled']",fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,5120,70,190,800000,300,60,80,50,40,40,30,24.6,0.6,7.8,2,0
210,Granbuluグランブル,Granbull,Fairy Pokémon,"['Intimidate', 'Quick Feet', 'Rattled']",fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,5120,70,75,800000,450,90,120,75,60,60,45,24.6,1.4,48.7,2,0
211,Harysenハリーセン,Qwilfish,Balloon Pokémon,"['Poison Point', 'Swift Swim', 'Intimidate']",water,poison,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,70,45,1000000,440,65,95,85,55,55,85,50,0.5,3.9,2,0
212,Hassamハッサム,Scizor,Pincer Pokémon,"['Swarm', 'Technician', 'Light Metal']",bug,steel,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,6400,70,25,1000000,600,70,150,140,65,100,75,50,1.8,118,2,0
213,Tsubotsuboツボツボ,Shuckle,Mold Pokémon,"['Sturdy', 'Gluttony', 'Contrary']",bug,rock,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,5120,70,190,1059860,505,20,10,230,10,230,5,50,0.6,20.5,2,0
214,Heracrosヘラクロス,Heracross,Singlehorn Pokémon,"['Swarm', 'Guts', 'Moxie']",bug,fighting,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,6400,70,45,1250000,600,80,185,115,40,105,75,50,1.5,54,2,0
215,Nyulaニューラ,Sneasel,Sharp Claw Pokémon,"['Inner Focus', 'Keen Eye', 'Pickpocket']",dark,ice,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,5120,35,60,1059860,430,55,95,55,35,75,115,50,0.9,28,2,0
216,Himegumaヒメグマ,Teddiursa,Little Bear Pokémon,"['Pickup', 'Quick Feet', 'Honey Gather']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,120,1000000,330,60,80,50,50,50,40,50,0.6,8.8,2,0
217,Ringumaリングマ,Ursaring,Hibernator Pokémon,"['Guts', 'Quick Feet', 'Unnerve']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,60,1000000,500,90,130,75,75,75,55,50,1.8,125.8,2,0
218,Magmagマグマッグ,Slugma,Lava Pokémon,"['Magma Armor', 'Flame Body', 'Weak Armor']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,190,1000000,250,40,40,40,70,40,20,50,0.7,35,2,0
219,Magcargotマグカルゴ,Magcargo,Lava Pokémon,"['Magma Armor', 'Flame Body', 'Weak Armor']",fire,rock,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,5120,70,75,1000000,430,60,50,120,90,80,30,50,0.8,55,2,0
220,Urimooウリムー,Swinub,Pig Pokémon,"['Oblivious', 'Snow Cloak', 'Thick Fat']",ice,ground,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,5120,70,225,1250000,250,50,50,40,30,30,50,50,0.4,6.5,2,0
221,Inomooイノムー,Piloswine,Swine Pokémon,"['Oblivious', 'Snow Cloak', 'Thick Fat']",ice,ground,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,5120,70,75,1250000,450,100,100,80,60,60,50,50,1.1,55.8,2,0
222,Sunnygoサニーゴ,Corsola,Coral Pokémon,"['Hustle', 'Natural Cure', 'Regenerator']",water,rock,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,5120,70,60,800000,410,65,55,95,65,95,35,24.6,0.6,5,2,0
223,Teppouoテッポウオ,Remoraid,Jet Pokémon,"['Hustle', 'Sniper', 'Moody']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,190,1000000,300,35,65,35,65,35,65,50,0.6,12,2,0
224,Okutankオクタン,Octillery,Jet Pokémon,"['Suction Cups', 'Sniper', 'Moody']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,75,1000000,480,75,105,75,105,75,45,50,0.9,28.5,2,0
225,Delibirdデリバード,Delibird,Delivery Pokémon,"['Vital Spirit', 'Hustle', 'Insomnia']",ice,flying,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,5120,70,45,800000,330,45,55,45,65,45,75,50,0.9,16,2,0
226,Mantainマンタイン,Mantine,Kite Pokémon,"['Swift Swim', 'Water Absorb', 'Water Veil']",water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,6400,70,25,1250000,485,85,40,70,80,140,70,50,2.1,220,2,0
227,Airmdエアームド,Skarmory,Armor Bird Pokémon,"['Keen Eye', 'Sturdy', 'Weak Armor']",steel,flying,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,6400,70,25,1250000,465,65,80,140,40,70,70,50,1.7,50.5,2,0
228,Delvilデルビル,Houndour,Dark Pokémon,"['Early Bird', 'Flash Fire', 'Unnerve']",dark,fire,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,5120,35,120,1250000,330,45,60,30,80,50,65,50,0.6,10.8,2,0
229,Hellgarヘルガー,Houndoom,Dark Pokémon,"['Early Bird', 'Flash Fire', 'Unnerve']",dark,fire,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,5120,35,45,1250000,600,75,90,90,140,90,115,50,1.4,35,2,0
230,Kingdraキングドラ,Kingdra,Dragon Pokémon,"['Swift Swim', 'Sniper', 'Damp']",water,dragon,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,5120,70,45,1000000,540,75,95,95,95,95,85,50,1.8,152,2,0
231,Gomazouゴマゾウ,Phanpy,Long Nose Pokémon,"['Pickup', 'Sand Veil']",ground,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,120,1000000,330,90,60,60,40,40,40,50,0.5,33.5,2,0
232,Donfanドンファン,Donphan,Armor Pokémon,"['Sturdy', 'Sand Veil']",ground,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,60,1000000,500,90,120,120,60,60,50,50,1.1,120,2,0
233,Porygon2ポリゴン２,Porygon2,Virtual Pokémon,"['Trace', 'Download', 'Analytic']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,45,1000000,515,85,80,90,105,95,60,,0.6,32.5,2,0
234,Odoshishiオドシシ,Stantler,Big Horn Pokémon,"['Intimidate', 'Frisk', 'Sap Sipper']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,45,1250000,465,73,95,62,85,65,85,50,1.4,71.2,2,0
235,Dobleドーブル,Smeargle,Painter Pokémon,"['Own Tempo', 'Technician', 'Moody']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,45,800000,250,55,20,35,20,45,75,50,1.2,58,2,0
236,Balkieバルキー,Tyrogue,Scuffle Pokémon,"['Guts', 'Steadfast', 'Vital Spirit']",fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,75,1000000,210,35,35,35,35,35,35,100,0.7,21,2,0
237,Kapoererカポエラー,Hitmontop,Handstand Pokémon,"['Intimidate', 'Technician', 'Steadfast']",fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,45,1000000,455,50,95,95,35,110,70,100,1.4,48,2,0
238,Muchulムチュール,Smoochum,Kiss Pokémon,"['Oblivious', 'Forewarn', 'Hydration']",ice,psychic,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,6400,70,45,1000000,305,45,30,15,85,65,65,0,0.4,6,2,0
239,Elekidエレキッド,Elekid,Electric Pokémon,"['Static', 'Vital Spirit']",electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,6400,70,45,1000000,360,45,63,37,65,55,95,75.4,0.6,23.5,2,0
240,Bubyブビィ,Magby,Live Coal Pokémon,"['Flame Body', 'Vital Spirit']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,6400,70,45,1000000,365,45,75,37,70,55,83,75.4,0.7,21.4,2,0
241,Miltankミルタンク,Miltank,Milk Cow Pokémon,"['Thick Fat', 'Scrappy', 'Sap Sipper']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,45,1250000,490,95,80,105,40,70,100,0,1.2,75.5,2,0
242,Happinasハピナス,Blissey,Happiness Pokémon,"['Natural Cure', 'Serene Grace', 'Healer']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,140,30,800000,540,255,10,10,75,135,55,0,1.5,46.8,2,0
243,Raikouライコウ,Raikou,Thunder Pokémon,"['Pressure', 'Inner Focus']",electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,20480,35,3,1250000,580,90,85,75,115,100,115,,1.9,178,2,1
244,Enteiエンテイ,Entei,Volcano Pokémon,"['Pressure', 'Inner Focus']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,20480,35,3,1250000,580,115,115,85,90,75,100,,2.1,198,2,1
245,Suicuneスイクン,Suicune,Aurora Pokémon,"['Pressure', 'Inner Focus']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,20480,35,3,1250000,580,100,75,115,90,115,85,,2,187,2,1
246,Yogirasヨーギラス,Larvitar,Rock Skin Pokémon,"['Guts', 'Sand Veil']",rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,10240,35,45,1250000,300,50,64,50,45,50,41,50,0.6,72,2,0
247,Sanagirasサナギラス,Pupitar,Hard Shell Pokémon,['Shed Skin'],rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,10240,35,45,1250000,410,70,84,70,65,70,51,50,1.2,152,2,0
248,Bangirasバンギラス,Tyranitar,Armor Pokémon,"['Sand Stream', 'Unnerve']",rock,dark,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,10240,35,45,1250000,700,100,164,150,95,120,71,50,2,202,2,0
249,Lugiaルギア,Lugia,Diving Pokémon,"['Pressure', 'Multiscale']",psychic,flying,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,30720,0,3,1250000,680,106,90,130,90,154,110,,5.2,216,2,1
250,Hououホウオウ,Ho-Oh,Rainbow Pokémon,"['Pressure', 'Regenerator']",fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,30720,0,3,1250000,680,106,130,90,110,154,90,,3.8,199,2,1
251,Celebiセレビィ,Celebi,Time Travel Pokémon,['Natural Cure'],psychic,grass,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,30720,100,45,1059860,600,100,100,100,100,100,100,,0.6,5,2,1
252,Kimoriキモリ,Treecko,Wood Gecko Pokémon,"['Overgrow', 'Unburden']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,45,1059860,310,40,45,35,65,55,70,88.1,0.5,5,3,0
253,Juptileジュプトル,Grovyle,Wood Gecko Pokémon,"['Overgrow', 'Unburden']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,45,1059860,405,50,65,45,85,65,95,88.1,0.9,21.6,3,0
254,Jukainジュカイン,Sceptile,Forest Pokémon,"['Overgrow', 'Unburden']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,45,1059860,630,70,110,75,145,85,145,88.1,1.7,52.2,3,0
255,Achamoアチャモ,Torchic,Chick Pokémon,"['Blaze', 'Speed Boost']",fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,45,1059860,310,45,60,40,70,50,45,88.1,0.4,2.5,3,0
256,Wakasyamoワカシャモ,Combusken,Young Fowl Pokémon,"['Blaze', 'Speed Boost']",fire,fighting,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,5120,70,45,1059860,405,60,85,60,85,60,55,88.1,0.9,19.5,3,0
257,Bursyamoバシャーモ,Blaziken,Blaze Pokémon,"['Blaze', 'Speed Boost']",fire,fighting,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,5120,70,45,1059860,630,80,160,80,130,80,100,88.1,1.9,52,3,0
258,Mizugorouミズゴロウ,Mudkip,Mud Fish Pokémon,"['Torrent', 'Damp']",water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,45,1059860,310,50,70,50,50,50,40,88.1,0.4,7.6,3,0
259,Numacrawヌマクロー,Marshtomp,Mud Fish Pokémon,"['Torrent', 'Damp']",water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,5120,70,45,1059860,405,70,85,70,60,70,50,88.1,0.7,28,3,0
260,Laglargeラグラージ,Swampert,Mud Fish Pokémon,"['Torrent', 'Damp']",water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,5120,70,45,1059860,635,100,150,110,95,110,70,88.1,1.5,81.9,3,0
261,Pochienaポチエナ,Poochyena,Bite Pokémon,"['Run Away', 'Quick Feet', 'Rattled']",dark,,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,3840,70,255,1000000,220,35,55,35,30,30,35,50,0.5,13.6,3,0
262,Graenaグラエナ,Mightyena,Bite Pokémon,"['Intimidate', 'Quick Feet', 'Moxie']",dark,,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,3840,70,127,1000000,420,70,90,70,60,60,70,50,1,37,3,0
263,Jiguzagumaジグザグマ,Zigzagoon,Tiny Racoon Pokémon,"['Pickup', 'Gluttony', 'Quick Feet']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,255,1000000,240,38,30,41,30,41,60,50,0.4,17.5,3,0
264,Massugumaマッスグマ,Linoone,Rush Pokémon,"['Pickup', 'Gluttony', 'Quick Feet']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,90,1000000,420,78,70,61,50,61,100,50,0.5,32.5,3,0
265,Kemussoケムッソ,Wurmple,Worm Pokémon,"['Shield Dust', 'Run Away']",bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,255,1000000,195,45,45,35,20,30,20,50,0.3,3.6,3,0
266,Karasalisカラサリス,Silcoon,Cocoon Pokémon,['Shed Skin'],bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,120,1000000,205,50,35,55,25,25,15,50,0.6,10,3,0
267,Agehuntアゲハント,Beautifly,Butterfly Pokémon,"['Swarm', 'Rivalry']",bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,45,1000000,395,60,70,50,100,50,65,50,1,28.4,3,0
268,Mayuldマユルド,Cascoon,Cocoon Pokémon,['Shed Skin'],bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,3840,70,120,1000000,205,50,35,55,25,25,15,50,0.7,11.5,3,0
269,Dokucaleドクケイル,Dustox,Poison Moth Pokémon,"['Shield Dust', 'Compoundeyes']",bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,3840,70,45,1000000,385,60,50,70,50,90,65,50,1.2,31.6,3,0
270,Hassbohハスボー,Lotad,Water Weed Pokémon,"['Swift Swim', 'Rain Dish', 'Own Tempo']",water,grass,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,3840,70,255,1059860,220,40,30,30,40,50,30,50,0.5,2.6,3,0
271,Hasubreroハスブレロ,Lombre,Jolly Pokémon,"['Swift Swim', 'Rain Dish', 'Own Tempo']",water,grass,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,3840,70,120,1059860,340,60,50,50,60,70,50,50,1.2,32.5,3,0
272,Runpappaルンパッパ,Ludicolo,Carefree Pokémon,"['Swift Swim', 'Rain Dish', 'Own Tempo']",water,grass,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,3840,70,45,1059860,480,80,70,70,90,100,70,50,1.5,55,3,0
273,Tanebohタネボー,Seedot,Acorn Pokémon,"['Chlorophyll', 'Early Bird', 'Pickpocket']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,3840,70,255,1059860,220,40,40,50,30,30,30,50,0.5,4,3,0
274,Konohanaコノハナ,Nuzleaf,Wily Pokémon,"['Chlorophyll', 'Early Bird', 'Pickpocket']",grass,dark,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,3840,70,120,1059860,340,70,70,40,60,40,60,50,1,28,3,0
275,Dirtengダーテング,Shiftry,Wickid Pokémon,"['Chlorophyll', 'Early Bird', 'Pickpocket']",grass,dark,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,3840,70,45,1059860,480,90,100,60,90,60,80,50,1.3,59.6,3,0
276,Subameスバメ,Taillow,TinySwallow Pokémon,"['Guts', 'Scrappy']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,200,1059860,270,40,55,30,30,30,85,50,0.3,2.3,3,0
277,Ohsubameオオスバメ,Swellow,Swallow Pokémon,"['Guts', 'Scrappy']",normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,45,1059860,455,60,85,60,75,50,125,50,0.7,19.8,3,0
278,Camomeキャモメ,Wingull,Seagull Pokémon,"['Keen Eye', 'Hydration', 'Rain Dish']",water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,5120,70,190,1000000,270,40,30,30,55,30,85,50,0.6,9.5,3,0
279,Pelipperペリッパー,Pelipper,Water Bird Pokémon,"['Keen Eye', 'Drizzle', 'Rain Dish']",water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,5120,70,45,1000000,440,60,50,100,95,70,65,50,1.2,28,3,0
280,Raltsラルトス,Ralts,Feeling Pokémon,"['Synchronize', 'Trace', 'Telepathy']",psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,5120,35,235,1250000,198,28,25,25,45,35,40,50,0.4,6.6,3,0
281,Kirliaキルリア,Kirlia,Emotion Pokémon,"['Synchronize', 'Trace', 'Telepathy']",psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,5120,35,120,1250000,278,38,35,35,65,55,50,50,0.8,20.2,3,0
282,Sirnightサーナイト,Gardevoir,Embrace Pokémon,"['Synchronize', 'Trace', 'Telepathy']",psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,5120,35,45,1250000,618,68,85,65,165,135,100,50,1.6,48.4,3,0
283,Ametamaアメタマ,Surskit,Pond Skater Pokémon,"['Swift Swim', 'Rain Dish']",bug,water,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,3840,70,200,1000000,269,40,30,32,50,52,65,50,0.5,1.7,3,0
284,Amemothアメモース,Masquerain,Eyeball Pokémon,"['Intimidate', 'Unnerve']",bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,75,1000000,454,70,60,62,100,82,80,50,0.8,3.6,3,0
285,Kinococoキノココ,Shroomish,Mushroom Pokémon,"['Effect Spore', 'Poison Heal', 'Quick Feet']",grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,3840,70,255,1640000,295,60,40,60,40,60,35,50,0.4,4.5,3,0
286,Kinogassaキノガッサ,Breloom,Mushroom Pokémon,"['Effect Spore', 'Poison Heal', 'Technician']",grass,fighting,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,3840,70,90,1640000,460,60,130,80,60,60,70,50,1.2,39.2,3,0
287,Namakeroナマケロ,Slakoth,Slacker Pokémon,['Truant'],normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,255,1250000,280,60,60,60,35,35,30,50,0.8,24,3,0
288,Yarukimonoヤルキモノ,Vigoroth,Wild Monkey Pokémon,['Vital Spirit'],normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,120,1250000,440,80,80,80,55,55,90,50,1.4,46.5,3,0
289,Kekkingケッキング,Slaking,Lazy Pokémon,['Truant'],normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,45,1250000,670,150,160,100,95,65,100,50,2,130.5,3,0
290,Tutininツチニン,Nincada,Trainee Pokémon,"['Compoundeyes', 'Run Away']",bug,ground,1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,3840,70,255,600000,266,31,45,90,30,30,40,50,0.5,5.5,3,0
291,Tekkaninテッカニン,Ninjask,Ninja Pokémon,"['Speed Boost', 'Infiltrator']",bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,3840,70,120,600000,456,61,90,45,50,50,160,50,0.8,12,3,0
292,Nukeninヌケニン,Shedinja,Shed Pokémon,['Wonder Guard'],bug,ghost,0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1,3840,70,45,600000,236,1,90,45,30,30,40,,0.8,1.2,3,0
293,Gonyonyoゴニョニョ,Whismur,Whisper Pokémon,"['Soundproof', 'Rattled']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,190,1059860,240,64,51,23,51,23,28,50,0.6,16.3,3,0
294,Dogohmbドゴーム,Loudred,Big Voice Pokémon,"['Soundproof', 'Scrappy']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,120,1059860,360,84,71,43,71,43,48,50,1,40.5,3,0
295,Bakuongバクオング,Exploud,Loud Noise Pokémon,"['Soundproof', 'Scrappy']",normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,45,1059860,490,104,91,63,91,73,68,50,1.5,84,3,0
296,Makunoshitaマクノシタ,Makuhita,Guts Pokémon,"['Thick Fat', 'Guts', 'Sheer Force']",fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,180,1640000,237,72,60,30,20,30,25,75.4,1,86.4,3,0
297,Hariteyamaハリテヤマ,Hariyama,Arm Thrust Pokémon,"['Thick Fat', 'Guts', 'Sheer Force']",fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,200,1640000,474,144,120,60,40,60,50,75.4,2.3,253.8,3,0
